Author_id,Name
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-kate &amp; Ashley Olsen
35,Robynn Clairday
36,Kathleen Duey
37,Karen A. Bale
38,Bill Dodge
39,Rich Shapero
40,Michael Crichton
41,C.S. Lewis
42,Arthur Phillips
43,Stephen Jaramillo
44,Mordecai Richler
45,Michael Panofsky
46,Anette Grube
47,Eleanor Cooney
48,Daniel Altieri
49,Charlotte Link
50,Richard North Patterson
51,Kristian Lutze
52,Mark Salzman
53,Harper Lee
54,Laura Hillenbrand
55,Barbara Kingsolver
56,Jo Dereske
57,Jane Austen
58,Dolores Krieger
59,Anne Rivers Siddons
60,Dean Koontz
61,Mary Higgins Clark
62,Patricia Cornwell
63,J.D. Robb
64,Maeve Binchy
65,Laura J. Mixon
66,Tim LaHaye
67,Jerry B. Jenkins
68,Bernie S. Siegel M.D.
69,Robert Penn Warren
70,Hans Johannes Hoefer
71,Mark Helprin
72,O. Carl Simonton M.D.
73,James Creighton Ph.D.
74,Stepha
75,Chuck Hill
76,David Iglehart
77,Larry McMurtry
78,Suzanne Fisher Staples
79,Michel Tournier
80,Carl Sagan
81,Aleksandr Zinoviev
82,Anne Tyler
83,Joseph Conrad
84,Deepak Chopra
85,Martin Greenberg
86,Thomas Hardy
87,Charles Noland
88,Sherri Baker
89,Valerie Frankel
90,Benjamin Hoff
91,Niccolo Machiavelli
92,H. Jackson Brown Jr.
93,Robert A. Heinlein
94,Philip Pullman
95,
96,Michael Ondaatje
97,Sandra Levy Ceren
98,P. J. O'Rourke
99,Mike Gayle
100,Stel Pavlou
101,Sarah Payne Stuart
102,Dan Quayle
103,Donald F. Kettl
104,Donald Kettl
105,David Frum
106,Louis L'Amour
107,J.D. Salinger
108,John Berendt
109,Jennifer Crusie
110,Jane Heller
111,Michael Rips
112,Simon Mawer
113,William Abrahams
114,Robert T. Kiyosaki
115,Sharon L. Lechter
116,Ken Follett
117,John F. Love
118,Robert G. Allen
119,Louis De Bernieres
120,Pam Proctor
121,Allen M. Schoen
122,Mitch Albom
123,Michael Jan Friedman
124,Ronald D. Moore
125,Glendon Swarthout
126,Neal Barrett Jr.
127,J. Michael Straczynski
128,David Morrell
129,Sandra Brown
130,James Patterson
131,Peter De Jonge
132,Stuart Woods
133,Iris Johansen
134,Dan Brown
135,Joe Hutsko
136,Anita Shreve
137,Ann Rule
138,Lewis Grizzard
139,Paul Theroux
140,Charles Hickey
141,Todd Lighty
142,John O'Brien
143,Stephen King
144,Ben Mezrich
145,Bill Hand
146,Tom Clancy
147,Dana Reeve
148,Roy
149,Barbara Metzger
150,Gabriel Garcia Marquez
151,Rebecca Wells
152,Tony Hillerman
153,Robert James Waller
154,Rachel Harris
155,Ian McEwan
156,Michael Lewis
157,Richard Zimler
158,Norman Jetmundsen
159,Lorenzo Carcaterra
160,Anne Frasier
161,Kay Hooper
162,Daphne Du Maurier
163,Nathaniel Hawthorne
164,Leo Marx
165,Nick Page
166,Laura Wolf
167,Lois Duncan
168,Susan Grant
169,Barbara Vine
170,Shirley Rousseau Murphy
171,Jane Lindskold
172,Betty Smith
173,Cybill Shepherd
174,Aimee Lee Ball
175,Stewart O'Nan
176,David Baldacci
177,Douglas Adams
178,Mary Lawson
179,Willa Cather
180,Olivia Goldsmith
181,Helen Fielding
182,Dover Thrift Editions
183,Franklin W. Dixon
184,Lilian Jackson Braun
185,Holly Virden
186,Michelle McKinney Hammond
187,H. Norman Wright
188,Piers Anthony
189,Ray Bradbury
190,Friedrich Schiller
191,Walter Schafarschik
192,Peter Naujack
193,Raymond Chandler
194,Hans Wollschläger
195,Thomas Schlück
196,Norbert Wölfl
197,Alexander Schmitz
198,Jürgen Bauer
199,Alastair Ker
200,Paulo Coelho
201,Maralde Meyer-Minnemann
202,Gabriel García Márquez
203,Fay Weldon
204,Arabella Weir
205,Kiana Davenport
206,Margarete Längsfeld
207,Sue Townsend
208,Renan Demirkan
209,Michael Moore
210,Helmut Dierlamm
211,Heike Schlatterer
212,Jonathan Franzen
213,Bettina Abarbanell
214,J. D. Salinger
215,Annemarie Böll
216,Heinrich Böll
217,Elisab
218,James Joyce
219,Joanna Trollope
220,Antoinette Gittinger
221,Milan Kundera
222,Arundhati Roy
223,Robert S. Levinson
224,Lorna Landvik
225,Arthur Golden
226,Kent Haruf
227,Patricia D Cornwell
228,Patricia D. Cornwell
229,Carol J. Farley
230,Tom Newsom
231,Kathleen E. Woodiwiss
232,Belva Plain
233,Mark Haddon
234,Ann Brashares
235,Erich Segal
236,Elizabeth Adler
237,Nicholas Sparks
238,John Saul
239,Steve Thayer
240,Tracy Chevalier
241,Judith Kelman
242,Michael Palmer
243,Francine Hughes
244,Norman Bridwell
245,Frank McCourt
246,Malachy Mccourt
247,Mari Sandoz
248,Anne Perry
249,Alexander Mccall Smith
250,Barbara Bergman
251,Gregory Maguire
252,Yann Martel
253,Ruth Rendell
254,Al Franken
255,Donna Tartt
256,John Milne
257,Terry Pratchett
258,E. B. White
259,Garth Williams
260,J. M. Barrie
261,Mary O'Hara
262,Paul Kidby
263,Louise Rennison
264,JANE AUSTEN
265,Kenneth Grahame
266,Bernard Cornwell
267,Charles De Lint
268,Lord Dunsany
269,Neil Gaiman
270,Georgette Heyer
271,Oscar Wilde
272,Jeffrey Eugenides
273,Ted Hughes
274,Andrew Davidson
275,Roald Dahl
276,Quentin Blake
277,Donna Jo Napoli
278,A.S. Byatt
279,Tanuja Desai Hidier
280,Sophie Kinsella
281,Isabel Wolff
282,Louisa May Alcott
283,Margaret Drabble
284,George Orwell
285,Charles Dickens
286,Isabel Allende
287,Ellen Datlow
288,Terri Windling
289,Charles Vess
290,Neil Gaim
291,Joseph Heller
292,John Galsworthy
293,Enid Blyton
294,Alan Moore
295,Kevin O'Neill
296,Ben Dimagmaliw
297,Sam Kieth
298,Mike Dringenberg
299,Malcolm Jon
300,John Bolton
301,Trudy Suggs
302,Tom Wolfe
303,Brady Udall
304,Homer Hickam
305,Pearl Abraham
306,Sebastian Junger
307,Karen Armstrong
308,Mary Barnard
309,Dudley Fitts
310,David Brin
311,T. C. Boyle
312,T. Coraghessan Boyle
313,Plato
314,Alexander Nehamas
315,Paul Woodruff
316,Lynda Madaras
317,Dane Saavedra
318,Jackie Aher
319,Stephen Mccauley
320,Isabelle Holland
321,Pam Conrad
322,Lurlene Mcdaniel
323,Brian Kaufman
324,John Darnton
325,Martin Schenk
326,David Eddings
327,Leigh Eddings
328,Paul Reiser
329,David G. Hartwell
330,Kathryn Cramer
331,Dave Barry
332,John R. Holt
333,Theodore Beale
334,Frank M. Robinson
335,Mary Jane Clark
336,Mary Shelley
337,Robert Westall
338,Robert B. Parker
339,Rita Chapman Works
340,Mark Carwardine
341,A. Manette Ansay
342,Sarah Waters
343,Anne Frank
344,Barry Lopez
345,Greg Palast
346,Andrea Kane
347,Nevada Barr
348,Margaret Maron
349,Edna Barker
350,Shelagh Rogers
351,Muriel Whitaker
352,John Irving
353,William Golding
354,Hermann Stiehl
355,HarperReference
356,LTD
357,Ann Patchett
358,Lane Smith
359,Sue Monk; Sue Monk Kidd Kidd
360,Roseanne J. Serra (Co
361,Bob Thiele
362,Bob Golden
363,Steve Allen
364,Colleen Mccullough
365,Joanne Harris
366,Thomas Cahill
367,Michael Hudson
368,Jane Smiley
369,Dick Francis
370,Nora Roberts
371,Jean Marzollo
372,Walter Wick
